Samples,FaithPD,Observed,Chao1,se.chao1,date,cage,herbivory,coral,treatment,is.neg,Shannon,Simpson,InvSimpson
A3_1x1_A4,4.97837,13,13.6,1.180944288,22-Jul,A3,1x1,A4,Enriched,FALSE,0.059071073,0.015922,1.016179612
A3_1x1_A5,2.90742,8,8,0.233853587,22-Jul,A3,1x1,A5,Enriched,FALSE,0.093721909,0.027752,1.028544157
A3_1x1_A6,4.23722,14,14,0.240906028,22-Jul,A3,1x1,A6,Enriched,FALSE,0.084000995,0.02382,1.024401237
A3_2x2_A1,23.67777,89,92.66666667,3.144706627,22-Jul,A3,2x2,A1,Enriched,FALSE,1.088681762,0.31812,1.466533701
A3_2x2_A2,18.68022,54,55.66666667,2.043752916,22-Jul,A3,2x2,A2,Enriched,FALSE,0.78720125,0.253394,1.33939454
A3_2x2_A3,3.58038,12,18,7.172478264,22-Jul,A3,2x2,A3,Enriched,FALSE,0.09301189,0.0258,1.026483268
A3_2x2_A4,52.39432,183,194,6.288239961,22-Jul,A3,2x2,A4,Enriched,FALSE,3.89878008,0.957698,23.63954423
A3_2x2_A6,6.49518,24,63,30.31249284,22-Jul,A3,2x2,A6,Enriched,FALSE,0.360947258,0.133414,1.15395356
A3_2x2_A7,6.21132,17,17,0.242535625,22-Jul,A3,2x2,A7,Enriched,FALSE,0.314788053,0.100824,1.112129327
A3_2x2_A8,12.38685,44,53.1,6.482212937,22-Jul,A3,2x2,A8,Enriched,FALSE,0.20133164,0.055136,1.058353371
A3_3x3_A1,11.05945,37,37,0,22-Jul,A3,3x3,A1,Enriched,FALSE,2.488727331,0.854168,6.857205552
A3_3x3_A2,7.59534,28,29.25,1.730727497,22-Jul,A3,3x3,A2,Enriched,FALSE,0.224804731,0.062888,1.067108307
A3_3x3_A4,10.37329,33,57,16.40735821,22-Jul,A3,3x3,A4,Enriched,FALSE,0.219426494,0.07028,1.075592652
A3_3x3_A6,49.17054,155,166.1764706,6.663155243,22-Jul,A3,3x3,A6,Enriched,FALSE,2.608565813,0.742314,3.880692005
A3_3x3_A7,6.52433,18,18.5,1.024475256,22-Jul,A3,3x3,A7,Enriched,FALSE,0.208644906,0.070322,1.075641244
A3_Open_A1,5.15353,18,23,5.514802216,22-Jul,A3,Open,A1,Enriched,FALSE,0.107683484,0.029736,1.030647329
A3_Open_A11,5.27131,13,13.5,1.28290036,22-Jul,A3,Open,A11,Enriched,FALSE,0.196555596,0.062682,1.066873782
A3_Open_A14,6.25992,20,22.5,3.1512784,22-Jul,A3,Open,A14,Enriched,FALSE,0.172172775,0.0493,1.051856527
A3_Open_A3,3.57075,9,10,2.258317958,22-Jul,A3,Open,A3,Enriched,FALSE,0.05491219,0.015912,1.016169286
A3_Open_A4,5.17604,17,17.6,1.182191724,22-Jul,A3,Open,A4,Enriched,FALSE,0.158561197,0.047318,1.0496682
A3_Open_A5,16.05681,45,49.2,4.336380605,22-Jul,A3,Open,A5,Enriched,FALSE,0.522193863,0.149612,1.175933809
A3_Open_A6,5.90075,18,18,0.242956329,22-Jul,A3,Open,A6,Enriched,FALSE,1.014081777,0.447494,1.809935096
A3_Open_A7,3.79602,10,10,0.474341649,22-Jul,A3,Open,A7,Enriched,FALSE,0.095602448,0.027746,1.02853781
A3_Open_A8,34.21946,118,121,2.863546175,22-Jul,A3,Open,A8,Enriched,FALSE,2.172093046,0.598406,2.490077043
A4_1x1_A10,7.07223,20,22.5,3.1512784,22-Jul,A4,1x1,A10,Ambient,FALSE,0.70012006,0.365484,1.576004388
A4_1x1_A2,20.43948,70,71.66666667,2.204141561,22-Jul,A4,1x1,A2,Ambient,FALSE,2.645786366,0.871294,7.769645549
A4_1x1_A3,12.33999,42,42.5,1.02612922,22-Jul,A4,1x1,A3,Ambient,FALSE,0.707947278,0.276534,1.382234963
A4_1x1_A4,2.92729,9,9,0,22-Jul,A4,1x1,A4,Ambient,FALSE,0.259302509,0.091196,1.10034727
A4_1x1_A5,46.69698,141,142.8947368,1.968297439,22-Jul,A4,1x1,A5,Ambient,FALSE,2.972553602,0.8263,5.757052389
A4_1x1_A6,47.41465,145,148.8823529,3.194668282,22-Jul,A4,1x1,A6,Ambient,FALSE,3.258509805,0.87044,7.718431615
A4_1x1_A9,12.68685,46,48.14285714,2.52942534,22-Jul,A4,1x1,A9,Ambient,FALSE,0.43324345,0.121824,1.1387239
A4_2x2_A1,29.54673,101,128.0666667,13.31469045,22-Jul,A4,2x2,A1,Ambient,FALSE,1.006612062,0.304272,1.43734333
A4_2x2_A4,8.20091,27,27.14285714,0.486015215,22-Jul,A4,2x2,A4,Ambient,FALSE,0.336367459,0.100986,1.11232973
A4_2x2_A6,23.12994,82,82.14285714,0.48669121,22-Jul,A4,2x2,A6,Ambient,FALSE,3.317851246,0.920876,12.63839037
A4_2x2_A8,2.13403,8,9.5,2.552088928,22-Jul,A4,2x2,A8,Ambient,FALSE,0.241098538,0.102944,1.114757607
A4_3x3_A10,10.32247,38,39,1.579110428,22-Jul,A4,3x3,A10,Ambient,FALSE,0.488817235,0.152888,1.180481448
A4_3x3_A3,3.93625,12,12,0.159571185,22-Jul,A4,3x3,A3,Ambient,FALSE,0.079993113,0.021854,1.022342268
A4_3x3_A4,3.44626,13,13.25,0.731845931,22-Jul,A4,3x3,A4,Ambient,FALSE,0.132654244,0.037584,1.03905172
A4_3x3_A7,10.34317,40,40,0,22-Jul,A4,3x3,A7,Ambient,FALSE,3.053273634,0.924856,13.30778239
A4_3x3_A8,13.50435,45,57,10.75729047,22-Jul,A4,3x3,A8,Ambient,FALSE,0.551974381,0.169242,1.203719976
A4_Open_A2,12.02693,47,47,0,22-Jul,A4,Open,A2,Ambient,FALSE,2.940485551,0.909196,11.01273072
A4_Open_A5,3.36418,9,10,2.258317958,22-Jul,A4,Open,A5,Ambient,FALSE,0.087283262,0.02578,1.026462195
B1_1x1_A1,9.19452,31,31,0,22-Jul,B1,1x1,A1,Enriched,FALSE,2.762257107,0.90256,10.26272578
B1_1x1_A2,15.63235,57,57.25,0.735705759,22-Jul,B1,1x1,A2,Enriched,FALSE,2.306752439,0.781512,4.576910402
B1_1x1_A3,6.475,22,22,0.122126053,22-Jul,B1,1x1,A3,Enriched,FALSE,0.259377391,0.074416,1.08039897
B1_1x1_A6,14.48058,55,56.5,1.874544192,22-Jul,B1,1x1,A6,Enriched,FALSE,0.937384354,0.326048,1.483785195
B1_1x1_A7,4.34552,14,14.5,1.284019819,22-Jul,B1,1x1,A7,Enriched,FALSE,0.138519112,0.043384,1.045351531
B1_1x1_A8,8.18516,27,28.2,1.837355485,22-Jul,B1,1x1,A8,Enriched,FALSE,0.309495334,0.098932,1.109794155
B1_2x2_A4,57.7481,171,178.9655172,4.708263687,22-Jul,B1,2x2,A4,Enriched,FALSE,3.970957395,0.968766,32.01639239
B1_2x2_A5,5.28998,13,13,0.120096115,22-Jul,B1,2x2,A5,Enriched,FALSE,0.147277879,0.051016,1.053758546
B1_2x2_A6,6.44785,22,27.6,5.337043637,22-Jul,B1,2x2,A6,Enriched,FALSE,0.354072167,0.143498,1.167539597
B1_2x2_A7,10.761,37,40.27272727,3.08536573,22-Jul,B1,2x2,A7,Enriched,FALSE,0.68553361,0.330024,1.492590779
B1_2x2_A8,3.35341,8,13,5.956573615,22-Jul,B1,2x2,A8,Enriched,FALSE,0.430453736,0.256698,1.34534819
B1_3x3_A1,10.67872,30,42,10.74847719,22-Jul,B1,3x3,A1,Enriched,FALSE,0.313914138,0.095286,1.105321682
B1_3x3_A11,2.82847,8,9,2.248456261,22-Jul,B1,3x3,A11,Enriched,FALSE,0.064197704,0.017896,1.018222103
B1_3x3_A13,4.01493,14,24.5,10.48808848,22-Jul,B1,3x3,A13,Enriched,FALSE,0.036753667,0.009966,1.010066321
B1_3x3_A18,3.08632,10,10,0,22-Jul,B1,3x3,A18,Enriched,FALSE,0.111117635,0.03554,1.036849636
B1_3x3_A3_questionmark,7.5963,21,28,7.09313048,22-Jul,B1,3x3,A3,Enriched,FALSE,0.825275866,0.521506,2.089890364
B1_3x3_A5,5.71099,21,26,5.518035697,22-Jul,B1,3x3,A5,Enriched,FALSE,0.167182146,0.051176,1.053936241
B1_3x3_A6,16.75966,62,67,4.13222018,22-Jul,B1,3x3,A6,Enriched,FALSE,0.609126645,0.1942,1.24100273
B1_3x3_A7,4.4489,20,32,10.73800203,22-Jul,B1,3x3,A7,Enriched,FALSE,0.187741518,0.068156,1.073140998
B1_3x3_A8,9.10583,28,40,10.74680185,22-Jul,B1,3x3,A8,Enriched,FALSE,0.330447497,0.102764,1.114533969
B1_3x3_A9,4.77515,15,18.75,4.192683359,22-Jul,B1,3x3,A9,Enriched,FALSE,0.086503007,0.023828,1.024409633
B1_Open_A2,5.23313,17,26.33333333,8.828433656,22-Jul,B1,Open,A2,Enriched,FALSE,0.084000995,0.02382,1.024401237
B1_Open_A3,7.445,24,26,2.87488387,22-Jul,B1,Open,A3,Enriched,FALSE,0.264762097,0.089296,1.098051617
B1_Open_A5,7.35663,19,22,4.149205839,22-Jul,B1,Open,A5,Enriched,FALSE,0.304211817,0.11151,1.12550507
B1_Open_A6,6.01709,20,20.5,1.024761192,22-Jul,B1,Open,A6,Enriched,FALSE,0.259588274,0.087384,1.095751115
B2_1x1_A13,16.01638,52,58.11111111,4.974249034,22-Jul,B2,1x1,A13,Ambient,FALSE,0.389334586,0.112398,1.12663108
B2_1x1_A14,14.69702,49,56,7.108533604,22-Jul,B2,1x1,A14,Ambient,FALSE,1.024888663,0.317628,1.465476309
B2_1x1_A15,39.84729,131,164.0555556,14.79578649,22-Jul,B2,1x1,A15,Ambient,FALSE,2.396782544,0.791428,4.794507412
B2_1x1_A16,5.59443,18,18,0,22-Jul,B2,1x1,A16,Ambient,FALSE,1.92501155,0.739758,3.842577293
B2_1x1_A2,5.43637,16,16,0.080687153,22-Jul,B2,1x1,A2,Ambient,FALSE,0.125449417,0.03948,1.041102736
B2_1x1_A3,7.44988,22,22.16666667,0.542050771,22-Jul,B2,1x1,A3,Ambient,FALSE,0.608057231,0.261308,1.353744186
B2_1x1_A4,9.86767,31,32.5,2.584718405,22-Jul,B2,1x1,A4,Ambient,FALSE,0.985413583,0.34666,1.530596627
B2_1x1_A6,7.57915,23,25.5,2.894265045,22-Jul,B2,1x1,A6,Ambient,FALSE,0.142515369,0.041478,1.043272872
B2_1x1_A7,6.52411,19,20,1.57718103,22-Jul,B2,1x1,A7,Ambient,FALSE,0.707044584,0.413984,1.706438049
B2_1x1_A8,7.87729,26,27.2,1.837210161,22-Jul,B2,1x1,A8,Ambient,FALSE,0.286901295,0.083956,1.091650619
B2_1x1_A9,5.80595,18,18,0.121478164,22-Jul,B2,1x1,A9,Ambient,FALSE,1.022602363,0.561936,2.282771467
B2_1x1_P1,8.24203,23,23.6,1.183268957,22-Jul,B2,1x1,P1,Ambient,FALSE,0.184369184,0.053168,1.056153573
B2_1x1_P17,12.33583,39,40,2.323790008,22-Jul,B2,1x1,P17,Ambient,FALSE,2.306813292,0.85008,6.67022412
B2_2x2_A1,7.00713,23,23.75,1.419162211,22-Jul,B2,2x2,A1,Ambient,FALSE,0.879499233,0.46322,1.862960617
B2_2x2_A2,9.25697,27,28,1.81128517,22-Jul,B2,2x2,A2,Ambient,FALSE,1.243223779,0.535508,2.152889608
B2_3x3_A2,6.47746,19,22.5,3.654609807,22-Jul,B2,3x3,A2,Ambient,FALSE,0.047428496,0.011958,1.012102724
B2_3x3_A6_1,8.86216,31,32.42857143,1.932635769,22-Jul,B2,3x3,A6_1,Ambient,FALSE,0.96842195,0.40612,1.683841854
B2_3x3_A6_2,1.82744,5,6,2.198484326,22-Jul,B2,3x3,A6_2,Ambient,FALSE,0.048398258,0.01393,1.014126786
B2_3x3_A7,6.24225,18,18.75,1.417909994,22-Jul,B2,3x3,A7,Ambient,FALSE,0.085538291,0.021866,1.02235481
B2_Open_A1,5.33747,16,16.75,1.417199289,22-Jul,B2,Open,A1,Ambient,FALSE,0.103524601,0.029726,1.030636707
B2_Open_A2,23.53635,75,84.1,6.483600725,22-Jul,B2,Open,A2,Ambient,FALSE,2.847045949,0.898456,9.847947688
B2_Open_A4,8.65918,30,30,0,22-Jul,B2,Open,A4,Ambient,FALSE,2.194606406,0.811864,5.315303823
B2_Open_A6,18.7632,66,73.58333333,5.44746765,22-Jul,B2,Open,A6,Ambient,FALSE,0.543003435,0.160444,1.191105775
B2_Open_A7,8.13487,26,26,0.098058068,22-Jul,B2,Open,A7,Ambient,FALSE,0.55932813,0.196668,1.244815344
B2_Open_A8,4.42457,15,15.5,1.023907758,22-Jul,B2,Open,A8,Ambient,FALSE,0.075731548,0.019884,1.020287395
B2_Open_A9,4.72433,16,16,0.484122918,22-Jul,B2,Open,A9,Ambient,FALSE,0.621709626,0.250206,1.333699656
C2_1x1_A1,4.6318,14,16,2.867441756,22-Jul,C2,1x1,A1,Ambient,FALSE,0.044655907,0.011954,1.012098627
C2_1x1_A3,8.99558,28,33,6.011352896,22-Jul,C2,1x1,A3,Ambient,FALSE,0.43543417,0.14338,1.167378768
C2_1x1_P5,14.20251,44,45.66666667,2.203272305,22-Jul,C2,1x1,P5,Ambient,FALSE,1.047598084,0.429068,1.751522073
C2_2x2_A2_1,2.17781,6,6,0.456435465,22-Jul,C2,2x2,A2_1,Ambient,FALSE,0.365724263,0.195088,1.242371837
C2_2x2_A2_2,9.16955,37,50.75,11.15973727,22-Jul,C2,2x2,A2_2,Ambient,FALSE,0.326308697,0.113398,1.127901809
C2_2x2_A5,10.4043,35,35,0,22-Jul,C2,2x2,A5,Ambient,FALSE,2.330011746,0.824634,5.702359636
C2_3x3_A1,4.24521,11,11.5,1.280073028,22-Jul,C2,3x3,A1,Ambient,FALSE,0.49650145,0.256608,1.345185313
C2_3x3_A10,8.47359,27,27.5,1.291141144,22-Jul,C2,3x3,A10,Ambient,FALSE,0.439556416,0.13283,1.153176424
C2_3x3_A11,10.73361,38,42.2,4.335458563,22-Jul,C2,3x3,A11,Ambient,FALSE,0.348609554,0.101056,1.112416346
C2_3x3_A2,11.58082,43,49,5.385164807,22-Jul,C2,3x3,A2,Ambient,FALSE,0.557028265,0.183328,1.224481799
C2_3x3_A3,15.98475,48,51,2.750551539,22-Jul,C2,3x3,A3,Ambient,FALSE,0.479381666,0.143918,1.1681124
C2_3x3_A4,4.83931,16,16,0.242061459,22-Jul,C2,3x3,A4,Ambient,FALSE,0.506005139,0.174244,1.211011485
C2_3x3_A5,28.73041,100,101.75,1.919892332,22-Jul,C2,3x3,A5,Ambient,FALSE,1.604696899,0.476342,1.909643317
C2_3x3_A6,2.94923,7,7,0.231455025,22-Jul,C2,3x3,A6,Ambient,FALSE,0.06506075,0.0179,1.01822625
C2_3x3_A7,7.00512,22,23,1.577697827,22-Jul,C2,3x3,A7,Ambient,FALSE,0.23697982,0.074258,1.080214574
C2_3x3_A9,5.54133,18,18,0,22-Jul,C2,3x3,A9,Ambient,FALSE,0.689850972,0.32056,1.471800306
C2_Open_A1,8.51277,28,29,1.811521238,22-Jul,C2,Open,A1,Ambient,FALSE,0.413137237,0.132552,1.152806854
C2_Open_A2,8.73361,27,29.5,2.895036827,22-Jul,C2,Open,A2,Ambient,FALSE,0.845485386,0.518436,2.076567185
C2_Open_A3,5.13895,18,25.5,8.115209033,22-Jul,C2,Open,A3,Ambient,FALSE,0.172062209,0.056864,1.060292471
C2_Open_A4,12.80972,44,46,2.583097231,22-Jul,C2,Open,A4,Ambient,FALSE,0.847141629,0.279734,1.388375961
C2_Open_A7,38.79614,123,130.8571429,6.335508522,22-Jul,C2,Open,A7,Ambient,FALSE,3.353396295,0.932648,14.84736905
C4_1x1_A1,2.99412,7,8.5,2.546624063,22-Jul,C4,1x1,A1,Enriched,FALSE,0.028850422,0.007976,1.008040128
C4_1x1_A10,7.95455,24,25,1.577973384,22-Jul,C4,1x1,A10,Enriched,FALSE,0.160401518,0.0473,1.049648368
C4_1x1_A11,11.0269,39,40.5,1.874166481,22-Jul,C4,1x1,A11,Enriched,FALSE,0.401217983,0.12519,1.14310536
C4_1x1_A12,6.66891,19,19,0.121666066,22-Jul,C4,1x1,A12,Enriched,FALSE,0.499567529,0.234122,1.305690985
C4_1x1_A2,6.44512,20,21.2,1.836049903,22-Jul,C4,1x1,A2,Enriched,FALSE,0.121809865,0.033672,1.034845311
C4_1x1_A3,3.24214,10,10.33333333,0.915919648,22-Jul,C4,1x1,A3,Enriched,FALSE,0.0524794,0.015898,1.016154829
C4_1x1_A4,5.25899,12,12,0.095742711,22-Jul,C4,1x1,A4,Enriched,FALSE,0.085979759,0.023826,1.024407534
C4_1x1_A6,6.39334,25,31,5.38179428,22-Jul,C4,1x1,A6,Enriched,FALSE,0.814599298,0.352602,1.544644871
C4_1x1_A7,8.66316,34,39.6,5.340834119,22-Jul,C4,1x1,A7,Enriched,FALSE,0.437739957,0.148508,1.174409155
C4_1x1_A8,3.91767,10,10.25,0.730370667,22-Jul,C4,1x1,A8,Enriched,FALSE,0.077491101,0.021846,1.022333907
C4_2x2_A11,4.46683,15,16.5,2.222155144,22-Jul,C4,2x2,A11,Enriched,FALSE,0.15344425,0.049188,1.051732624
C4_2x2_A14,3.98052,11,12.2,1.832164357,22-Jul,C4,2x2,A14,Enriched,FALSE,0.028327174,0.007974,1.008038096
C4_2x2_A2,8.80826,30,30.375,0.825555062,22-Jul,C4,2x2,A2,Enriched,FALSE,0.84942667,0.385652,1.627741931
C4_2x2_A6,13.7662,52,52.75,1.421740316,22-Jul,C4,2x2,A6,Enriched,FALSE,1.245595622,0.439932,1.785497475
C4_2x2_A7,10.82002,36,36,0.061625831,22-Jul,C4,2x2,A7,Enriched,FALSE,0.621656438,0.194486,1.241443352
C4_3x3_A2,2.0544,7,8.5,2.546624063,22-Jul,C4,3x3,A2,Enriched,FALSE,0.038139961,0.009968,1.010068361
C4_3x3_A3,4.99117,14,14,0,22-Jul,C4,3x3,A3,Enriched,FALSE,0.097086968,0.027756,1.028548389
C4_3x3_A5,4.03902,11,11.5,1.280073028,22-Jul,C4,3x3,A5,Enriched,FALSE,0.100481436,0.029702,1.030611214
C4_3x3_A7,3.30368,5,5,0.447213595,22-Jul,C4,3x3,A7,Enriched,FALSE,0.059252364,0.019818,1.020218694
C4_Open_A1,6.80128,18,19.5,2.223760819,22-Jul,C4,Open,A1,Enriched,FALSE,0.196414282,0.07195,1.07752815
C4_Open_A2,8.07324,24,27.75,4.198553383,22-Jul,C4,Open,A2,Enriched,FALSE,0.803798729,0.399108,1.664192567
C4_Open_A4,8.71894,26,26,0,22-Jul,C4,Open,A4,Enriched,FALSE,0.323169461,0.095374,1.105429205
C4_Open_A5,1.58819,4,5,2.167948339,22-Jul,C4,Open,A5,Enriched,FALSE,0,0,1
C4_Open_A6,7.06511,25,27,2.58069758,22-Jul,C4,Open,A6,Enriched,FALSE,0.310360654,0.089706,1.098546184
D1_1x1_A2,6.96513,23,23,0.244504823,22-Jul,D1,1x1,A2,Ambient,FALSE,1.406123669,0.620944,2.638132624
D1_1x1_A4,6.77582,18,23,5.514802216,22-Jul,D1,1x1,A4,Ambient,FALSE,0.097170773,0.025806,1.02648959
D1_2x2_A1,0.95364,2,2,0.353553391,22-Jul,D1,2x2,A1,Ambient,FALSE,0,0,1
D1_3x3_A1,5.57801,20,23,3.411362089,22-Jul,D1,3x3,A1,Ambient,FALSE,0.17375076,0.053118,1.056097803
D1_3x3_A4,54.47094,180,192.6666667,7.512524522,22-Jul,D1,3x3,A4,Ambient,FALSE,3.580474616,0.90839,10.91583888
D1_3x3_A7,11.74437,39,40.5,2.22833361,22-Jul,D1,3x3,A7,Ambient,FALSE,0.891403889,0.29201,1.412449328
D1_Open_A1,5.03951,14,14.33333333,0.918827224,22-Jul,D1,Open,A1,Ambient,FALSE,0.14433822,0.045304,1.047453849
D1_Open_A2,4.05269,11,11.75,1.414360477,22-Jul,D1,Open,A2,Ambient,FALSE,0.536967066,0.336528,1.507222611
D1_Open_A3,7.49148,23,30.5,8.126119091,22-Jul,D1,Open,A3,Ambient,FALSE,1.46453808,0.72826,3.679988224
D1_Open_A5,5.81546,16,16.25,0.732774955,22-Jul,D1,Open,A5,Ambient,FALSE,0.164967996,0.05494,1.058133875
D1_Open_A6,9.60765,28,28.33333333,0.922525346,22-Jul,D1,Open,A6,Ambient,FALSE,1.067168478,0.38141,1.616579641
D3_1x1_A1,2.99256,11,13.5,3.143924182,22-Jul,D3,1x1,A1,Enriched,FALSE,0.030236716,0.007978,1.00804216
D3_1x1_A11,4.9391,20,20,0,22-Jul,D3,1x1,A11,Enriched,FALSE,0.523018213,0.210384,1.26643837
D3_1x1_A12,9.36273,27,28.5,2.22654687,22-Jul,D3,1x1,A12,Enriched,FALSE,0.345447311,0.106618,1.119342006
D3_1x1_A13,9.1171,26,29.5,3.656573164,22-Jul,D3,1x1,A13,Enriched,FALSE,0.153202983,0.043448,1.045421472
D3_1x1_A2,3.67322,10,10.75,1.413474659,22-Jul,D3,1x1,A2,Enriched,FALSE,0.062110177,0.019842,1.020243675
D3_1x1_A3,5.25829,13,13.16666667,0.540974259,22-Jul,D3,1x1,A3,Enriched,FALSE,0.053943435,0.013942,1.014139128
D3_1x1_A5,6.17793,18,18,0.161970886,22-Jul,D3,1x1,A5,Enriched,FALSE,0.385803597,0.154262,1.182399277
D3_1x1_A6,6.16141,19,19.33333333,0.92076467,22-Jul,D3,1x1,A6,Enriched,FALSE,0.412103231,0.143242,1.167190735
D3_1x1_A9,4.88197,17,22.25,5.356050835,22-Jul,D3,1x1,A9,Enriched,FALSE,0.08538729,0.023822,1.024403336
D3_2x2_A1,4.39958,13,13.33333333,0.918264601,22-Jul,D3,2x2,A1,Enriched,FALSE,0.123196159,0.033674,1.034847453
D3_2x2_A3,7.78366,26,29.33333333,4.11382742,22-Jul,D3,2x2,A3,Enriched,FALSE,0.308264061,0.091564,1.100793011
D3_2x2_A5,4.98002,15,22,6.630893605,22-Jul,D3,2x2,A5,Enriched,FALSE,0.08538729,0.023822,1.024403336
D3_3x3_A1,7.6018,25,25.2,0.619769542,22-Jul,D3,3x3,A1,Enriched,FALSE,0.30154781,0.095224,1.105245939
D3_3x3_A2,1.98596,7,7,0.46291005,22-Jul,D3,3x3,A2,Enriched,FALSE,0.103933011,0.031668,1.032703659
D3_3x3_A4,5.88042,18,18.75,1.417909994,22-Jul,D3,3x3,A4,Enriched,FALSE,0.195001729,0.062656,1.06684419
D3_3x3_A5,4.23506,16,37,17.33571536,22-Jul,D3,3x3,A5,Enriched,FALSE,0.094737982,0.025804,1.026487483
D3_Open_A1,19.51228,62,66.2,4.337807652,22-Jul,D3,Open,A1,Enriched,FALSE,1.965732568,0.720404,3.576589079
D3_Open_A10,13.99685,48,61.33333333,8.846288147,22-Jul,D3,Open,A10,Enriched,FALSE,0.603174316,0.197166,1.245587506
D3_Open_A11,16.20034,55,63.66666667,6.412300956,22-Jul,D3,Open,A11,Enriched,FALSE,0.474433551,0.136642,1.158268065
D3_Open_A12,52.88213,166,171.3529412,3.97051117,22-Jul,D3,Open,A12,Enriched,FALSE,3.962436244,0.966228,29.61032808
D3_Open_A13,14.34386,50,52.14285714,2.529595352,22-Jul,D3,Open,A13,Enriched,FALSE,0.391613242,0.10682,1.119595154
D3_Open_A14,1.66839,4,4,0,22-Jul,D3,Open,A14,Enriched,FALSE,0.015813509,0.003994,1.004010016
D3_Open_A3,11.11481,35,36.2,1.83822879,22-Jul,D3,Open,A3,Enriched,FALSE,1.193120095,0.568252,2.316165912
D3_Open_A4,12.64713,41,63,17.45010524,22-Jul,D3,Open,A4,Enriched,FALSE,0.643698866,0.231314,1.300921312
D3_Open_A6,5.03615,18,25.5,8.115209033,22-Jul,D3,Open,A6,Enriched,FALSE,0.375732093,0.179102,1.218178141
D3_Open_A7,5.2615,20,20,0.162446572,22-Jul,D3,Open,A7,Enriched,FALSE,0.375918264,0.12497,1.142817961